seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr12	58219922	58220011	90	*	X1935	407016	58218392	58218475	84	-	1446	upstream	1446	MIR26A2
chr12	120153432	120153465	34	*	X2031	100302274	120151439	120151529	91	-	1902	upstream	1902	MIR1178
chr12	120594421	120594510	90	*	X2040	100616179	120593238	120593303	66	-	1117	upstream	1117	MIR4498
chr14	21854094	21854124	31	*	X2283	11198	21819631	21852425	32795	-	1668	upstream	1668	SUPT16H
chr14	23528137	23528241	105	*	X2298	64403	23516270	23526747	10478	-	1389	upstream	1389	CDH24
chr14	24629242	24629340	99	*	X2336	10379	24629729	24635774	6046	+	388	upstream	388	IRF9
chr14	24779086	24779220	135	*	X2343	1241	24780705	24787242	6538	+	1484	upstream	1484	LTB4R
chr14	24779086	24779220	135	*	X2343	56413	24779357	24781259	1903	+	136	upstream	136	LTB4R2
chr15	25306115	25306204	90	*	X2473	100033417	25307479	25307575	97	+	1274	upstream	1274	SNORD116-5
chr15	25306638	25306802	165	*	X2474	100033417	25307479	25307575	97	+	676	upstream	676	SNORD116-5
chr15	44087320	44087357	38	*	X2534	100302254	44085857	44085957	101	-	1362	upstream	1362	MIR1282
chr15	52569459	52569506	48	*	X2541	100302202	52569314	52569397	84	-	61	upstream	61	MIR1266
chr15	65056290	65056379	90	*	X2576	100302184	65054586	65054714	129	-	1575	upstream	1575	MIR1272
chr15	72491921	72492055	135	*	X2603	196996	72452147	72490136	37990	-	1784	upstream	1784	GRAMD2A
chr15	91508598	91508653	56	*	X2698	100507118	91509599	91531854	22256	+	945	upstream	945	PRC1-AS1
chr16	839960	839963	4	*	X2726	113000	834974	838383	3410	-	1576	upstream	1576	RPUSD1
chr16	840325	840358	34	*	X2727	113000	834974	838383	3410	-	1941	upstream	1941	RPUSD1
chr16	2013526	2013645	120	*	X2743	26784	2012974	2013107	134	-	418	upstream	418	SNORA64
chr16	2013526	2013645	120	*	X2743	574042	2012335	2012467	133	-	1058	upstream	1058	SNORA10
chr16	2013526	2013645	120	*	X2743	677844	2015185	2015311	127	+	1539	upstream	1539	SNORA78
chr16	2013526	2013645	120	*	X2743	735301	2014997	2015505	509	+	1351	upstream	1351	SNHG9
chr16	3072084	3072193	110	*	X2785	79228	3074032	3077756	3725	+	1838	upstream	1838	THOC6
chr16	3166533	3166667	135	*	X2786	81854	3160461	3165599	5139	-	933	upstream	933	ZNF205-AS1
chr16	30721983	30722117	135	*	X2940	677813	30721858	30721986	129	+	0	overlapEnd	124	SNORA30
chr16	67979130	67979219	90	*	X3027	3931	67973787	67978015	4229	-	1114	upstream	1114	LCAT
chr17	7127209	7127298	90	*	X3259	442898	7126616	7126698	83	-	510	upstream	510	MIR324
chr17	7127374	7127508	135	*	X3260	442898	7126616	7126698	83	-	675	upstream	675	MIR324
chr17	7127832	7127896	65	*	X3261	442898	7126616	7126698	83	-	1133	upstream	1133	MIR324
chr17	7128236	7128266	31	*	X3262	442898	7126616	7126698	83	-	1537	upstream	1537	MIR324
chr17	7138297	7138323	27	*	X3266	1856	7128661	7137863	9203	-	433	upstream	433	DVL2
chr17	8281758	8281811	54	*	X3322	124751	8271973	8280029	8057	-	1728	upstream	1728	KRBA2
chr17	17717446	17717475	30	*	X3345	693120	17717150	17717245	96	-	200	upstream	200	MIR33B
chr17	17718539	17718576	38	*	X3346	693120	17717150	17717245	96	-	1293	upstream	1293	MIR33B
chr17	17718615	17718823	209	*	X3347	693120	17717150	17717245	96	-	1369	upstream	1369	MIR33B
chr17	26941914	26942048	135	*	X3389	124923	26907027	26941211	34185	-	702	upstream	702	RSKR
chr17	26942835	26942939	105	*	X3390	124923	26907027	26941211	34185	-	1623	upstream	1623	RSKR
chr17	27050498	27050632	135	*	X3401	26772	27050699	27050772	74	+	66	upstream	66	SNORD4B
chr17	27050498	27050632	135	*	X3401	26809	27050447	27050509	63	+	0	overlapEnd	50	SNORD42A
chr17	37881838	37881839	2	*	X3494	100616132	37882748	37882814	67	+	908	upstream	908	MIR4728
chr17	38185180	38185314	135	*	X3503	101340251	38183796	38183898	103	-	1281	upstream	1281	SNORD124
chr17	40266693	40266708	16	*	X3532	79132	40253422	40264751	11330	-	1941	upstream	1941	DHX58
chr17	56408054	56408242	189	*	X3659	9256	56378588	56406152	27565	-	1901	upstream	1901	TSPOAP1
chr19	1271583	1271586	4	*	X3918	148046	1267470	1270259	2790	-	1323	upstream	1323	CIRBP-AS1
chr19	1271745	1271777	33	*	X3919	148046	1267470	1270259	2790	-	1485	upstream	1485	CIRBP-AS1
chr19	1816736	1816739	4	*	X3943	100302210	1816158	1816237	80	-	498	upstream	498	MIR1909
chr19	1816771	1816890	120	*	X3944	100302210	1816158	1816237	80	-	533	upstream	533	MIR1909
chr19	2234037	2234122	86	*	X3963	100302283	2234061	2234148	88	-	0	overlapEnd	25	MIR1227
chr19	2247613	2247752	140	*	X3965	268	2249113	2252072	2960	+	1360	upstream	1360	AMH
chr19	5786750	5786835	86	*	X4043	163154	5782971	5784776	1806	-	1973	upstream	1973	PRR22
chr19	6417691	6417825	135	*	X4052	100500888	6416421	6416522	102	-	1168	upstream	1168	MIR3940
chr19	10218227	10218346	120	*	X4114	692229	10218327	10218411	85	+	0	overlapStart	0	SNORD105
chr19	10218587	10218751	165	*	X4115	100113382	10220425	10220516	92	+	1673	upstream	1673	SNORD105B
chr19	10219162	10219281	120	*	X4116	100113382	10220425	10220516	92	+	1143	upstream	1143	SNORD105B
chr19	12817337	12817456	120	*	X4196	26810	12817263	12817332	70	-	4	upstream	4	SNORD41
chr19	12818312	12818331	20	*	X4197	26810	12817263	12817332	70	-	979	upstream	979	SNORD41
chr19	13054803	13054836	34	*	X4206	5886	13056628	13064457	7830	+	1791	upstream	1791	RAD23A
chr19	16243128	16243140	13	*	X4284	84941	16244838	16269377	24540	+	1697	upstream	1697	HSH2D
chr19	19756134	19756283	150	*	X4379	51291	19740285	19754455	14171	-	1678	upstream	1678	GMIP
chr19	19756359	19756463	105	*	X4380	51291	19740285	19754455	14171	-	1903	upstream	1903	GMIP
chr19	36038126	36038275	150	*	X4434	100506469	36031640	36036931	5292	-	1194	upstream	1194	TMEM147-AS1
chr19	36237535	36237562	28	*	X4448	199746	36233428	36236336	2909	-	1198	upstream	1198	U2AF1L4
chr19	36237535	36237562	28	*	X4448	55957	36239262	36245420	6159	+	1699	upstream	1699	LIN37
chr19	36237535	36237562	28	*	X4448	79713	36230151	36236336	6186	-	1198	upstream	1198	IGFLR1
chr19	42570214	42570220	7	*	X4580	2901	42502468	42569957	67490	-	256	upstream	256	GRIK5
chr19	44098425	44098581	157	*	X4594	79177	44100544	44118649	18106	+	1962	upstream	1962	ZNF576
chr19	48957892	48958041	150	*	X4731	3770	48958964	48969367	10404	+	922	upstream	922	KCNJ14
chr19	50166365	50166435	71	*	X4783	83596	50168399	50177173	8775	+	1963	upstream	1963	BCL2L12
chr19	50190164	50190171	8	*	X4787	199800	50191942	50194247	2306	+	1770	upstream	1770	ADM5
chr19	50191237	50191316	80	*	X4788	199800	50191942	50194247	2306	+	625	upstream	625	ADM5
chr19	51302345	51302429	85	*	X4811	692203	51302286	51302382	97	-	0	overlapStart	0	SNORD88B
chr19	51302615	51302719	105	*	X4812	692202	51302696	51302792	97	-	0	overlapEnd	72	SNORD88A
chr19	51302615	51302719	105	*	X4812	692203	51302286	51302382	97	-	232	upstream	232	SNORD88B
chr19	51302885	51303004	120	*	X4813	692202	51302696	51302792	97	-	92	upstream	92	SNORD88A
chr19	51302885	51303004	120	*	X4813	692203	51302286	51302382	97	-	502	upstream	502	SNORD88B
chr19	52395726	52395793	68	*	X4819	84765	52359056	52394145	35090	-	1580	upstream	1580	ZNF577
chr19	54213121	54213210	90	*	X4823	574478	54214256	54214342	87	+	1045	upstream	1045	MIR524
chr19	54292172	54292336	165	*	X4824	100616185	54290931	54290996	66	-	1175	upstream	1175	MIR371B
chr19	58516655	58516672	18	*	X4894	80095	58488441	58514714	26274	-	1940	upstream	1940	ZNF606
chr19	59067575	59067709	135	*	X4912	27243	59062933	59066486	3554	-	1088	upstream	1088	CHMP2A
chr19	59067845	59068039	195	*	X4913	27243	59062933	59066486	3554	-	1358	upstream	1358	CHMP2A
chr19	59068550	59068654	105	*	X4914	100131691	59070553	59086164	15612	+	1898	upstream	1898	MZF1-AS1
chr2	27664246	27664350	105	*	X4981	200634	27665233	27669348	4116	+	882	upstream	882	KRTCAP3
chr2	220085340	220085424	85	*	X5243	10058	220074488	220085174	10687	-	165	upstream	165	ABCB6
chr2	220415222	220415273	52	*	X5249	100423039	220413795	220413869	75	-	1352	upstream	1352	MIR3132
chr2	242294102	242294120	19	*	X5331	9855	242295664	242434256	138593	+	1543	upstream	1543	FARP2
chr20	60908510	60908527	18	*	X5636	100616340	60907543	60907613	71	-	896	upstream	896	MIR4758
chr20	61916305	61916498	194	*	X5645	100422945	61918160	61918218	59	+	1661	upstream	1661	MIR4326
chr20	62492624	62492748	125	*	X5648	140701	62492566	62494341	1776	+	0	inside	57	ABHD16B
chr20	62574611	62574651	41	*	X5652	100302137	62572818	62572897	80	-	1713	upstream	1713	MIR1914
chr20	62574611	62574651	41	*	X5652	693232	62573984	62574079	96	-	531	upstream	531	MIR647
chr20	62663704	62663743	40	*	X5656	284739	62665697	62671315	5619	+	1953	upstream	1953	C20orf204
chr22	23603295	23603366	72	*	X5798	26226	23604954	23607186	2233	+	1587	upstream	1587	FBXW4P1
chr22	42018375	42018464	90	*	X6022	27351	41994032	42017061	23030	-	1313	upstream	1313	DESI1
chr22	50684924	50685043	120	*	X6073	85378	50656118	50683400	27283	-	1523	upstream	1523	TUBGCP6
chr22	51019034	51019128	95	*	X6089	1375	51007290	51017096	9807	-	1937	upstream	1937	CPT1B
chr3	10320185	10320280	96	*	X6112	100126793	10320905	10335133	14229	+	624	upstream	624	GHRLOS
chr3	10335974	10336108	135	*	X6114	51738	10327434	10334631	7198	-	1342	upstream	1342	GHRL
chr3	46621833	46621967	135	*	X6202	79442	46556878	46621572	64695	-	260	upstream	260	LRRC2
chr3	47890040	47890164	125	*	X6227	100302232	47891045	47891119	75	+	880	upstream	880	MIR1226
chr3	47890502	47890597	96	*	X6228	100302232	47891045	47891119	75	+	447	upstream	447	MIR1226
chr3	48682596	48682715	120	*	X6267	100616112	48681627	48681713	87	-	882	upstream	882	MIR4793
chr3	49068029	49068163	135	*	X6284	3615	49061762	49066875	5114	-	1153	upstream	1153	IMPDH2
chr3	49758349	49758468	120	*	X6297	386724	49754267	49757238	2972	-	1110	upstream	1110	AMIGO3
chr3	50139509	50139585	77	*	X6300	100775107	50137036	50138421	1386	-	1087	upstream	1087	RBM5-AS1
chr3	50367536	50367610	75	*	X6313	11334	50362341	50365668	3328	-	1867	upstream	1867	TUSC2
chr3	51427059	51427085	27	*	X6322	29890	51428699	51435336	6638	+	1613	upstream	1613	RBM15B
chr3	131102238	131102330	93	*	X6466	339874	131043936	131100319	56384	-	1918	upstream	1918	LOC339874
chr3	184042963	184043082	120	*	X6529	692107	184043484	184043559	76	+	401	upstream	401	SNORD66
chr3	184052431	184052565	135	*	X6534	131408	184053717	184064063	10347	+	1151	upstream	1151	FAM131A
chr4	10081851	10082059	209	*	X6633	100423011	10080235	10080316	82	-	1534	upstream	1534	MIR3138
chr4	83820325	83820414	90	*	X6681	79725	83821837	83841438	19602	+	1422	upstream	1422	THAP9
chr5	1063615	1063659	45	*	X6747	100616479	1063011	1063089	79	-	525	upstream	525	MIR4635
chr5	170815673	170815698	26	*	X6958	100500831	170813660	170813764	105	-	1908	upstream	1908	MIR3912
chr5	179225833	179225907	75	*	X7024	100302156	179225278	179225346	69	-	486	upstream	486	MIR1229
chr6	8087339	8087397	59	*	X7064	100124533	8086641	8086766	126	-	572	upstream	572	SCARNA27
chr6	8088148	8088198	51	*	X7065	100124533	8086641	8086766	126	-	1381	upstream	1381	SCARNA27
chr6	43480043	43480104	62	*	X7299	221424	43474703	43478081	3379	-	1961	upstream	1961	LRRC73
chr6	44222514	44222584	71	*	X7320	100616124	44221943	44222022	80	-	491	upstream	491	MIR4647
chr6	133135999	133136032	34	*	X7368	594839	133136446	133138490	2045	+	413	upstream	413	SNORA33
chr6	133135999	133136032	34	*	X7368	6206	133135708	133138703	2996	+	0	inside	290	RPS12
chr6	159186646	159186780	135	*	X7386	100500851	159185693	159185785	93	-	860	upstream	860	MIR3918
chr6	159237187	159237246	60	*	X7389	101409257	159239011	159243272	4262	+	1764	upstream	1764	EZR-AS1
chr7	56126519	56126638	120	*	X7498	677803	56128163	56128295	133	+	1524	upstream	1524	SNORA15
chr7	100173232	100173274	43	*	X7604	100316904	100169853	100171270	1418	-	1961	upstream	1961	SAP25
chr7	127231702	127231780	79	*	X7653	29999	127231463	127241851	10389	+	0	inside	238	FSCN3
chr7	127721640	127721731	92	*	X7656	693178	127721913	127722012	100	+	181	upstream	181	MIR593
chr7	150935278	150935315	38	*	X7745	768213	150935507	150935624	118	+	191	upstream	191	MIR671
chr8	144661548	144661610	63	*	X7909	93100	144656955	144660513	3559	-	1034	upstream	1034	NAPRT
chr8	144661686	144661895	210	*	X7910	93100	144656955	144660513	3559	-	1172	upstream	1172	NAPRT
chr8	144895697	144895801	105	*	X7916	100126338	144895127	144895212	86	-	484	upstream	484	MIR937
chr8	144896072	144896134	63	*	X7917	100126338	144895127	144895212	86	-	859	upstream	859	MIR937
chr8	145625870	145625911	42	*	X7930	100302196	145625476	145625559	84	-	310	upstream	310	MIR1234
chr8	145741330	145741432	103	*	X7934	9684	145743349	145750559	7211	+	1916	upstream	1916	LRRC14
chr8	146014278	146014397	120	*	X7937	80778	145998501	146012725	14225	-	1552	upstream	1552	ZNF34
chr9	95378304	95378376	73	*	X8035	100128361	95380332	95382817	2486	+	1955	upstream	1955	LOC100128361
chr9	96938461	96938468	8	*	X8043	406888	96938629	96938715	87	+	160	upstream	160	MIRLET7F1
chr9	104162553	104162584	32	*	X8071	54534	104151122	104160919	9798	-	1633	upstream	1633	MRPL50
chr9	125643122	125643241	120	*	X8103	692206	125642492	125642598	107	-	523	upstream	523	SNORD90
chr9	130211758	130211877	120	*	X8111	26783	130210781	130210916	136	-	841	upstream	841	SNORA65
chr9	130211758	130211877	120	*	X8111	90678	130213765	130265780	52016	+	1887	upstream	1887	LRSAM1
chr9	130555177	130555242	66	*	X8117	2356	130556876	130576556	19681	+	1633	upstream	1633	FPGS
chr9	134360086	134360295	210	*	X8198	26786	134361052	134365958	4907	+	756	upstream	756	SNORD62A
chr9	136212969	136213078	110	*	X8238	6130	136215069	136218280	3212	+	1990	upstream	1990	RPL7A
chr9	136225221	136225327	107	*	X8241	6834	136218666	136223361	4696	-	1859	upstream	1859	SURF1
chr9	138394187	138394204	18	*	X8261	138162	138387026	138392364	5339	-	1822	upstream	1822	C9orf116
chrX	47062208	47062312	105	*	X8384	8552	47064247	47065254	1008	+	1934	upstream	1934	INE1
chrX	47062448	47062552	105	*	X8385	8552	47064247	47065254	1008	+	1694	upstream	1694	INE1
chrX	73507389	73507474	86	*	X8460	442919	73507121	73507192	72	-	196	upstream	196	MIR374A
chrX	73507389	73507474	86	*	X8460	664614	73506939	73507044	106	-	344	upstream	344	MIR545
chrX	133304717	133304766	50	*	X8503	406899	133304228	133304308	81	-	408	upstream	408	MIR106A
chrX	133304717	133304766	50	*	X8503	406981	133303701	133303796	96	-	920	upstream	920	MIR19B2
chrX	133304717	133304766	50	*	X8503	407049	133303568	133303642	75	-	1074	upstream	1074	MIR92A2
chrX	133304717	133304766	50	*	X8503	574031	133303408	133303482	75	-	1234	upstream	1234	MIR363
chrX	133304717	133304766	50	*	X8503	574032	133303839	133303907	69	-	809	upstream	809	MIR20B
chrX	133304717	133304766	50	*	X8503	574033	133304071	133304141	71	-	575	upstream	575	MIR18B
chrX	153627900	153628004	105	*	X8525	26778	153628622	153628756	135	+	617	upstream	617	SNORA70
chrX	154002556	154002690	135	*	X8526	677835	154003273	154003401	129	+	582	upstream	582	SNORA56
